balance,time,block
6162414.521,1651138090,10727716
6164960.417,1650977573,10579015
6153087.515,1651208680,10791445
6161228.58,1651001658,10600258
6162935.126,1651087151,10685230
6166500.424,1650254484,10005454
6160597.114,1651116769,10706473
6168805.52,1651645384,11152576
6160573.143,1651296081,10876417
6156470.607,1650909508,10536529
6151437.521,1651359901,10940146
6171279.262,1651715801,11216305
6162219.682,1651157918,10748959
6168604.474,1651068136,10663987
6175792.743,1651687863,11195062
6204004.604,1650337394,10069183
6221793.611,1651816995,11301277
6192573.557,1651966083,11449978
6159100.759,1651267007,10855174
6144054.247,1651490025,11025118
6184412.39,1651763726,11258791
6162217.598,1651569031,11088847
6172990.453,1651049817,10642744
6157282.231,1651540458,11067604
6225645.368,1651836280,11322520
6209028.485,1652083843,11577436
6164102.833,1651590664,11110090
6157890.992,1651395411,10961389
6182028.886,1651901158,11386249
6140711.355,1651511485,11046361
6219035.856,1651852058,11343763
6174849.816,1651666134,11173819
6211336.767,1651786712,11280034
6217539.189,1651875273,11365006
6187865.3,1651741935,11237548
6231875.838,1652191552,11704894
6198889.611,1652006303,11492464
6201740.875,1652133779,11641165
6189133.349,1651940401,11428735
6221342.136,1652253018,11768623
6160976.261,1651616973,11131333
6164365.16,1651430094,10982632
6221646.935,1652233800,11747380
6214571.323,1652152111,11662408
6188162.771,1650388615,10111669
6218960.36,1652171436,11683651
5938581.175,1652350715,11896081
6203069.008,1652021622,11513707
6197439.329,1652100227,11598679
6195105.837,1651987691,11471221
6186065.493,1652270595,11789866
5962803.073,1652336059,11874838
6205130.526,1652302299,11832352
5947992.214,1652393102,11938567
6183368.423,1652115428,11619922
6020402.706,1652571532,12087268
6018318.256,1652503945,12023539
6011469.263,1652597052,12108511
6206299.074,1652042822,11534950
6183948.882,1651923188,11407492
6202389.341,1652067704,11556193
5938493.761,1652368082,11917324
6220698.13,1652284223,11811109
6218365.768,1652210941,11726137
6006276.609,1652635236,12150997
6006381.442,1652699860,12214726
6012988.74,1652543688,12066025
6022372.119,1652796858,12320941
5995920.214,1652319996,11853595
6018306.112,1652778965,12299698
6007673.566,1652663666,12172240
6008254.777,1652905814,12427156
6010464.441,1652735141,12257212
6006539.25,1652716456,12235969
6013882.174,1652614774,12129754
6005186.323,1652448934,11981053
6012560.263,1652473451,12002296
6015776.113,1652527611,12044782
6007995.063,1652684582,12193483
6020320.045,1652864243,12384670
5996498.686,1652423057,11959810
6012226.893,1652760142,12278455
6021665.39,1652844531,12363427
6003205.396,1652996172,12512128
6008390.531,1652971669,12490885
6014179.275,1653119910,12618343
5992752.316,1652953831,12469642
6047339.563,1653294732,12767044
6005110.152,1653025412,12533371
6006538.675,1653065262,12575857
6052827.612,1653338035,12809530
6015728.848,1653163914,12660829
6008439.549,1653046855,12554614
6152084.018,1650469284,10196641
5993912.628,1652933918,12448399
6040860.546,1653272181,12745801
6085175.263,1653554826,12979474
6089127.88,1653525846,12958231
6075618.985,1653468868,12915745
6011859.073,1653095125,12597100
6032883.189,1653239533,12724558
6027923.605,1653198457,12682072
6079332.782,1653490020,12936988
6048847.098,1653314494,12788287
6009142.12,1652883887,12405913
6048494.564,1653366811,12830773
6082362.686,1653576405,13000717
6051366.243,1653412332,12873259
6022844.44,1652817558,12342184
6080157.167,1653794625,13170661
6155220.745,1650572159,10281613
6061135.8,1653680991,13085689
6083911.28,1653818991,13191904
6163181.411,1650547047,10260370
6048829.023,1653389729,12852016
6076279.59,1653757596,13149418
6097610.38,1653919544,13276876
6072417.206,1653714616,13106932
6093428.447,1653837626,13213147
6049412.006,1653445512,12894502
6099645.979,1653944572,13298119
6075230.378,1653737339,13128175
6084845.512,1654100639,13446820
6030832.771,1653219112,12703315
6107688.932,1654122671,13468063
6015442.946,1653141223,12639586
6110118.304,1653993919,13340605
6128642.902,1654311127,13659250
6097728.42,1654085845,13425577
6093941.708,1654041214,13383091
6064505.028,1653657750,13064446
6097263.35,1653872202,13234390
6117593.45,1654179928,13531792
6116506.987,1654144162,13489306
6105875.674,1654014028,13361848
6166714.631,1654397990,13744222
6072779.981,1653633808,13043203
6109384.899,1653972207,13319362
6117579.363,1654162350,13510549
6170189.278,1654420227,13765465
6087008.617,1653609546,13021960
6095147.861,1654066427,13404334
6140293.859,1654197594,13553035
6150678.922,1654223274,13574278
6131335.042,1654346306,13701736
6091669.543,1653897002,13255633
6166589.725,1654456931,13807951
6131894.765,1654364508,13722979
6136248.069,1654331103,13680493
6129846.351,1654282047,13638007
6129201.89,1654263308,13616764
6170229.027,1654437576,13786708
6160090.105,1650522432,10239127
6125293.399,1654246649,13595521
6141067.951,1650794366,10451557
6163963.991,1650702809,10387828
