rate,time,block,mpl_staked,xmpl_supply
1.002315816,1655428710,14976428,2358693.216,2353243.537
1.002291218,1655406029,14974940,2358834.55,2353442.302
1.00233509,1655446483,14977668,2359124.088,2353628.153
1.002347432,1655457865,14978412,2359164.033,2353639.025
1.002339256,1655450325,14977916,2359133.893,2353628.153
1.002351117,1655461263,14978660,2359172.705,2353639.025
1.002343593,1655454324,14978164,2359154.996,2353639.025
1.002359395,1655468884,14979156,2347013.357,2341488.861
1.002355076,1655464914,14978908,2358891.167,2353348.851
1.002367088,1655475942,14979652,2347064.29,2341521.704
1.002363139,1655472319,14979404,2347022.124,2341488.861
1.002370773,1655479323,14979900,2347072.919,2341521.704
